SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,,Oakland Park,FL,33309,299900,2,1.5,,978,,1984,3,307,450,Active,August-27-2023 01:00 PM,August-27-2023 03:00 PM,https://www.redfin.com/FL/Oakland-Park/Undisclosed-address-33309/home/41664317,MARMLS,A11437002,N,Y,26.1680782,-80.1794165
MLS Listing,,Single Family Residential,12822 SW 53rd Ct,Miramar,FL,33027,650000,4,2.5,SOMERSET II SOUTH,1823,4009,2002,4,357,150,Active,,,https://www.redfin.com/FL/Miramar/12822-SW-53rd-Ct-33027/home/41865777,MARMLS,A11435087,N,Y,25.9587308,-80.3162402
MLS Listing,,Single Family Residential,8507 White Egret Way,Lake Worth,FL,33467,479000,2,2.0,Lakes OF Sherbrooke PH 5,1598,7686,1986,4,300,179,Active,,,https://www.redfin.com/FL/Lake-Worth/8507-White-Egret-Way-33467/home/42179170,Beaches MLS,RX-10912522,N,Y,26.6016948,-80.183082
MLS Listing,,Condo/Co-op,7601 E Treasure Dr #2203,North Bay Village,FL,33141,515000,2,2.0,THE GRANDVIEW PALACE COND,1030,,1987,4,500,842,Active,,,https://www.redfin.com/FL/North-Bay-Village/7601-E-Treasure-Dr-33141/unit-2203/home/43308664,MARMLS,A11436089,N,Y,25.8476718,-80.1458676
MLS Listing,,Single Family Residential,2970 NW 176th St,Miami Gardens,FL,33056,440000,3,1.5,MYRTLE GROVE,1190,7500,1954,7,370,,Active,,,https://www.redfin.com/FL/Miami-Gardens/2970-NW-176th-St-33056/home/42984510,MARMLS,A11435111,N,Y,25.9339673,-80.2507108
MLS Listing,,Single Family Residential,2505 Glendale Dr,Royal Palm Beach,FL,33411,624900,4,2.5,"Madison Green 1 Pars F, G And I",2778,6643,2002,10,225,233,Active,,,https://www.redfin.com/FL/Royal-Palm-Beach/2505-Glendale-Dr-33411/home/42563950,Beaches MLS,RX-10911060,N,Y,26.721682,-80.2364226
MLS Listing,,Single Family Residential,5611 Coco Palm Dr,Tamarac,FL,33319,550000,3,3.0,Woodlands Sec Seven 67-41,2771,10661,1970,10,198,117,Active,,,https://www.redfin.com/FL/Tamarac/5611-Coco-Palm-Dr-33319/home/41571420,Beaches MLS,F10394862,N,Y,26.185061,-80.2260752
MLS Listing,,Single Family Residential,6450 Mckinley St,Hollywood,FL,33024,510000,3,2.0,FLEETWOOD MANOR,1144,6003,1963,11,446,,Active,,,https://www.redfin.com/FL/Hollywood/6450-McKinley-St-33024/home/41883967,MARMLS,A11433809,N,Y,26.0228373,-80.2173852
MLS Listing,,Condo/Co-op,2880 NE 203rd St #6,Aventura,FL,33180,210000,1,1.0,BISCAYNE LAKE GDN BLDG B,800,,1964,11,263,383,Active,,,https://www.redfin.com/FL/Miami/2880-NE-203rd-St-33180/unit-6/home/42925770,MARMLS,A11430832,N,Y,25.9631491,-80.1442976
MLS Listing,,Single Family Residential,924 NW 24th Ave,Fort Lauderdale,FL,33311,355000,3,1.0,FRANKLIN PARK AMENDED,962,4753,1960,12,369,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/924-NW-24th-Ave-33311/home/41788454,MARMLS,A11431975,N,Y,26.13513,-80.1741123
MLS Listing,,Single Family Residential,2209 NW 49 Ave,Coconut Creek,FL,33063,725000,4,2.5,Lyons West,2198,5197,1998,17,330,102,Active,,,https://www.redfin.com/FL/Coconut-Creek/2209-NW-49th-Ave-33063/home/41496656,Beaches MLS,RX-10909280,N,Y,26.2553768,-80.1920616
MLS Listing,,Condo/Co-op,210 174th St Unit L11,Sunny Isles Beach,FL,33160,399000,2,2.0,WINSTON TOWERS 600 CONDO,1294,,1981,18,308,637,Active,,,https://www.redfin.com/FL/Sunny-Isles-Beach/210-174th-St-33160/unit-L11/home/43238457,MARMLS,A11428657,N,Y,25.9379608,-80.1212683
MLS Listing,,Single Family Residential,108 Princewood Ln,Palm Beach Gardens,FL,33410,874900,3,2.0,Sanctuary 01,1969,,1995,23,444,262,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/108-Princewood-Ln-33410/home/42645796,Beaches MLS,RX-10907849,N,Y,26.869026,-80.0766351
MLS Listing,,Condo/Co-op,10661 SW 108th Ave Unit 2H,Miami,FL,33176,300000,2,2.0,THE PRADO CONDO,911,,1975,24,329,251,Active,,,https://www.redfin.com/FL/Miami/10661-SW-108th-Ave-33176/unit-2H/home/43154406,MARMLS,A11426238,N,Y,25.6696847,-80.3688939
